Nombre,Marca,Precio,Supermercado,URL
Papel Cocina Blanco,CONSUM,"2,39 €",Consum,https://tienda.consum.es/es/p/papel-cocina-blanco/7178234
Lote Estropajos Multiusos Varios Colores,GREEN NATURE,"1,15 €",Consum,https://tienda.consum.es/es/p/lote-estropajos-multiusos-varios-colores/7180628
Gel Baño Marine,MAGNO,"3,40 €",Consum,https://tienda.consum.es/es/p/gel-bano-marine/7183023
Papel Cocina Doble Capa Especi.Fritos Cartapaglia,FOXY,"2,89 €",Consum,https://tienda.consum.es/es/p/papel-cocina-doble-capa-especifritos-cartapaglia/7188493
Limpiador Concentrado de Vinagre,JOSMI,"0,90 €",Consum,https://tienda.consum.es/es/p/limpiador-concentrado-de-vinagre/7192698
Salfumant,JOSMI,"1,10 €",Consum,https://tienda.consum.es/es/p/salfumant/7194111
Loción Bajo La Ducha Rápida Absorción,NIVEA,"4,69 €",Consum,https://tienda.consum.es/es/p/locion-bajo-la-ducha-rapida-absorcion/7195519
Sinmanchas Coloreadas Spray,KH-7,"4,85 €",Consum,https://tienda.consum.es/es/p/sinmanchas-coloreadas-spray/7200280
Estropajos Acero Inox,CONSUM,"0,75 €",Consum,https://tienda.consum.es/es/p/estropajos-acero-inox/7209901
Loción Corporal en Gel Aloe Vera,KYREY,"3,65 €",Consum,https://tienda.consum.es/es/p/locion-corporal-en-gel-aloe-vera/7210784
Higiénico Doble Capa Compacto,CONSUM,"2,29 €",Consum,https://tienda.consum.es/es/p/higienico-doble-capa-compacto/7216661
Higiénico Doble Capa Compacto,CONSUM,"4,40 €",Consum,https://tienda.consum.es/es/p/higienico-doble-capa-compacto/7216666
Servilletas 2 Capas Decoradas 33x32,CONSUM,"2,15 €",Consum,https://tienda.consum.es/es/p/servilletas-2-capas-decoradas-33x32/7217920
Pañuelos Faciales Dos Capas,CONSUM,"1,20 €",Consum,https://tienda.consum.es/es/p/panuelos-faciales-dos-capas/7228633
Desatascador 2EN1,CONSUM,"1,85 €",Consum,https://tienda.consum.es/es/p/desatascador-2en1/7230993
Aceite Almendras Reparador,NATURAFEMME,"4,25 €",Consum,https://tienda.consum.es/es/p/aceite-almendras-reparador/7234024
Espuma de Afeitar Classic,LA TOJA,"2,95 €",Consum,https://tienda.consum.es/es/p/espuma-de-afeitar-classic/7235950
